id_book,page,start_time,duration,total_pages
11,66,1784031498,120,182
11,69,1784031887,59,182
11,63,1784031294,38,182
11,61,1784031216,24,182
11,61,1784031274,18,182
11,78,1784032631,120,182
11,77,1784032589,42,182
11,74,1784032354,60,182
11,76,1784032490,94,182
11,73,1784032246,102,182
11,72,1784032167,79,182
11,75,1784032414,76,182
11,78,1784033534,105,182
11,80,1784033788,42,182
11,80,1784033843,120,182
11,76,1784033452,68,182
11,75,1784033445,7,182
11,81,1784034026,105,182
11,79,1784033411,6,182
11,79,1784033639,120,182
11,79,1784033830,13,182
11,77,1784033420,24,182
11,77,1784033520,14,182
11,82,1784034131,120,182
11,86,1784035045,24,182
11,86,1784035071,120,182
11,85,1784035028,17,182
11,83,1784034949,59,182
11,84,1784035008,20,182
11,88,1784035289,120,182
11,88,1784035416,19,182
11,87,1784035193,96,182
11,105,1784110931,54,182
11,99,1784110625,73,182
11,99,1784110705,14,182
11,91,1784110169,46,182
11,106,1784110985,48,182
11,98,1784110553,72,182
11,90,1784110143,26,182
11,101,1784110725,35,182
11,93,1784110288,35,182
11,100,1784110698,7,182
11,100,1784110719,6,182
11,92,1784110215,73,182
11,103,1784110827,71,182
11,95,1784110357,111,182
11,102,1784110760,67,182
11,94,1784110323,26,182
11,94,1784110350,7,182
11,97,1784110528,25,182
11,89,1784110110,33,182
11,104,1784110898,33,182
11,96,1784110468,60,182
11,108,1784111111,83,182
11,107,1784111033,78,182
11,109,1784111194,65,182
11,114,1784111496,24,182
11,110,1784111259,61,182
11,117,1784111608,62,182
11,115,1784111520,52,182
11,119,1784111766,74,182
11,111,1784111320,76,182
11,120,1784111844,64,182
11,116,1784111572,36,182
11,112,1784111396,48,182
11,118,1784111670,96,182
11,121,1784111908,31,182
11,113,1784111444,52,182
11,132,1784112556,33,182
11,126,1784112195,66,182
11,134,1784112662,120,182
11,127,1784112261,70,182
11,133,1784112589,73,182
11,131,1784112517,39,182
11,128,1784112331,27,182
11,128,1784112360,27,182
11,129,1784112387,66,182
11,122,1784111939,68,182
11,130,1784112457,60,182
11,123,1784112007,6,182
11,125,1784112051,120,182
11,124,1784112013,38,182
11,140,1784113110,120,182
11,141,1784113318,67,182
11,142,1784113392,52,182
11,135,1784112850,85,182
11,135,1784112945,14,182
11,144,1784113474,19,182
11,136,1784112935,10,182
11,136,1784112959,32,182
11,137,1784112991,34,182
11,138,1784113025,12,182
11,139,1784113037,73,182
11,143,1784113444,30,182
11,147,1784289039,73,182
11,146,1784288954,85,182
11,145,1784288778,44,182
11,145,1784288827,120,182
11,144,1784288822,5,182
11,150,1784289353,21,182
11,153,1784289486,39,182
11,149,1784289271,82,182
11,152,1784289378,108,182
11,148,1784289112,120,182
11,155,1784289635,53,182
11,156,1784289688,120,182
11,154,1784289525,110,182
11,162,1784290160,50,182
11,161,1784290120,40,182
11,160,1784290080,24,182
11,159,1784289982,98,182
11,159,1784290104,14,182
11,165,1784290392,120,182
11,158,1784289910,72,182
11,164,1784290273,119,182
11,157,1784289822,79,182
11,163,1784290210,63,182
11,170,1784291166,20,182
11,169,1784291092,74,182
11,168,1784290907,120,182
11,167,1784290867,40,182
11,166,1784290851,7,182
11,166,1784290859,8,182
11,173,1784291385,69,182
11,172,1784291342,43,182
11,171,1784291186,120,182
11,178,1784292851,27,182
11,179,1784292878,43,182
11,176,1784292811,35,182
11,177,1784292846,5,182
11,175,1784292753,58,182
11,182,1784292990,17,182
11,174,1784291742,120,182
11,180,1784292921,31,182
11,181,1784292958,32,182
13,1,1784293017,13,89
14,2,1784293079,5,370
14,3,1784293084,8,370
14,4,1784293092,6,370
14,5,1784293098,9,370
14,9,1784293114,8,370
14,9,1784293123,96,370
14,10,1784293219,100,370
14,11,1784293319,120,370
14,12,1784293603,8,370
15,1,1784293625,5,663
15,1,1784293639,31,663
15,4,1784293675,18,663
15,5,1784293693,57,663
15,6,1784293750,40,663
15,7,1784293790,61,663
15,8,1784293851,44,663
15,9,1784293895,42,663
15,10,1784293937,46,663
15,11,1784293983,37,663
15,12,1784294020,26,663
15,13,1784294046,32,663
15,14,1784294078,8,663
16,1,1784294110,12,283
16,2,1784294122,6,283
16,6,1784294135,5,283
16,15,1784294156,65,283
16,60,1784294243,10,283
16,62,1784294253,14,295
16,86,1784294276,120,295
16,87,1784294473,12,295
16,87,1784294486,5,295
16,87,1784294506,18,295
16,101,1784294531,116,295
17,8,1784341021,5,307
18,10,1784341092,8,621
18,14,1784341105,10,621
19,3,1784341146,47,63
19,3,1784341194,18,63
19,4,1784341212,24,63
19,5,1784341236,6,63
19,6,1784341242,17,63
19,7,1784341259,33,63
19,8,1784341292,10,63
19,9,1784341302,8,63
19,10,1784341310,85,63
19,11,1784341395,48,63
19,11,1784341495,23,63
19,12,1784341443,52,63
19,13,1784341522,54,63
19,14,1784341576,61,63
19,15,1784341637,45,63
19,16,1784341682,19,63
19,17,1784341701,38,63
19,18,1784341739,62,63
19,19,1784341801,43,63
19,20,1784341844,54,63
19,21,1784341898,31,63
19,22,1784341929,56,63
19,22,1784341987,21,63
19,23,1784342008,47,63
19,24,1784342055,19,63
19,25,1784342074,28,63
19,26,1784342102,66,63
19,27,1784342168,48,63
19,28,1784342216,25,63
19,28,1784342266,5,63
19,29,1784342241,25,63
19,29,1784342271,29,63
19,30,1784342300,42,63
19,31,1784342342,50,63
19,32,1784342392,32,63
19,33,1784342424,61,63
19,34,1784342485,15,63
19,34,1784342505,8,63
19,35,1784342500,5,63
19,35,1784342513,18,63
19,36,1784342531,41,63
19,37,1784342572,15,63
19,38,1784342587,13,63
19,39,1784342600,49,63
19,40,1784342649,74,63
19,41,1784342723,64,63
19,42,1784342787,48,63
19,43,1784342835,57,63
19,44,1784342892,37,63
19,45,1784342929,7,63
19,46,1784342936,5,63
19,53,1784342948,36,63
19,55,1784343030,17,63
19,58,1784343064,5,63
19,56,1784343047,12,63
19,54,1784342984,46,63
19,63,1784343115,44,63
19,62,1784343096,6,63
19,62,1784343103,12,63
19,57,1784343059,5,63
19,61,1784343088,8,63
19,59,1784343069,9,63
20,1,1784343173,5,290
20,2,1784343178,6,290
20,3,1784343184,9,290
20,7,1784343198,10,290
20,8,1784343208,14,290
20,9,1784343222,36,290
20,10,1784343258,53,290
20,11,1784343311,19,290
20,12,1784343330,65,290
20,13,1784343395,25,290
20,14,1784343420,40,290
20,15,1784343460,43,290
20,16,1784343503,44,290
20,17,1784343547,13,290
20,18,1784343560,38,290
20,19,1784343598,45,290
20,20,1784343643,29,290
20,21,1784343672,36,290
20,22,1784343708,64,290
20,23,1784343772,68,290
20,24,1784343840,70,290
20,25,1784343910,47,290
20,25,1784344065,21,290
20,25,1784344107,5,290
20,26,1784344086,21,290
20,26,1784344112,35,290
20,27,1784344147,55,290
20,28,1784344202,59,290
20,29,1784344261,34,290
20,30,1784344295,59,290
20,31,1784344354,59,290
20,32,1784344413,112,290
20,33,1784344525,24,290
20,34,1784344549,24,290
20,35,1784344573,75,290
20,36,1784344648,73,290
20,37,1784344721,50,290
20,38,1784344771,39,290
20,39,1784344810,40,290
20,40,1784344850,47,290
20,40,1784344903,120,290
20,41,1784344897,6,290
21,1,1784348000,24,874
21,2,1784348034,20,874
21,3,1784348054,32,874
21,4,1784348024,9,874
21,4,1784348086,30,874
21,5,1784348116,64,874
21,6,1784348180,28,874
21,7,1784348208,51,874
21,8,1784348259,69,874
21,9,1784348328,43,874
21,10,1784348371,6,874
21,11,1784348377,41,874
21,12,1784348418,79,874
21,13,1784348497,110,874
21,14,1784348607,64,874
21,15,1784348671,45,874
21,16,1784348716,44,874
21,17,1784348760,83,874
21,18,1784348843,68,874
21,19,1784348911,45,874
21,20,1784348956,109,874
21,21,1784349065,87,874
21,22,1784349152,67,874
21,23,1784349223,57,874
21,24,1784349280,120,874
21,25,1784349406,45,874
21,26,1784349451,60,874
21,27,1784349511,120,874
21,28,1784349676,61,874
21,29,1784349737,54,874
21,30,1784349791,77,874
21,34,1784350017,63,874
21,32,1784349904,41,874
21,31,1784349868,36,874
21,41,1784350474,52,874
21,39,1784350325,75,874
21,37,1784350197,51,874
21,33,1784349945,72,874
21,43,1784350569,27,874
21,43,1784350598,49,874
21,36,1784350137,60,874
21,35,1784350080,57,874
21,44,1784350647,75,874
21,42,1784350526,43,874
21,40,1784350400,74,874
21,38,1784350248,77,874
21,45,1784350722,90,874
21,46,1784351635,120,874
21,45,1784352004,120,874
21,53,1784352593,80,904
21,49,1784352371,56,904
21,47,1784352253,57,904
21,52,1784352544,49,904
21,50,1784352427,56,904
21,48,1784352310,56,904
21,46,1784352144,109,904
21,55,1784352860,71,904
21,54,1784352673,120,904
21,51,1784352483,61,904
21,67,1784353548,58,904
21,67,1784353666,14,904
21,69,1784353777,70,904
21,68,1784353606,60,904
21,68,1784353680,97,904
21,64,1784353332,113,904
21,62,1784353228,68,904
21,58,1784353055,59,904
21,56,1784352931,76,904
21,60,1784353180,21,904
21,65,1784353445,58,904
21,59,1784353118,62,904
21,66,1784353503,45,904
21,61,1784353201,27,904
21,63,1784353296,36,904
21,57,1784353007,48,904
21,71,1784353900,66,904
21,72,1784353966,70,904
21,70,1784353847,53,904
21,73,1784354036,78,904
21,76,1784354306,19,904
21,76,1784354657,65,904
21,74,1784354114,78,904
21,75,1784354192,18,904
21,75,1784354212,94,904
21,75,1784354325,120,904
21,77,1784363065,120,904
21,77,1784364105,89,904
21,77,1784364230,7,904
21,78,1784364194,28,904
22,1,1784364249,11,195
22,2,1784364667,120,195
23,1,1784365149,5,406
23,5,1784365157,7,406
24,4,1784368150,41,833
24,15,1784368203,19,833
24,72,1784368264,7,833
24,74,1784368256,5,833
24,85,1784368231,5,833
24,77,1784368246,5,833
